id,epica_id,tipo,track,fecha_inicio,fecha_fin,dia_pgt,categoria,tarea,prioridad,estado,fecha_entrega,link,evidencia,metrica,notas
EPIC-DRUPAL,EPIC-DRUPAL,epica,drupal,2026-09-01,,D6,migración,Migrar 18 tours bloque 3 WP → Drupal staging (paridad SEO),P0,en_progreso,2026-09-20,03-seo/guias/MIGRACION-TOURS-DRUPAL-PASO-A-PASO.md,03-seo/datos/wp-export-tours-jairo/,0/18 en Drupal,Asignación bloque 3 — cutover global es Einel/Ricardo
DRUPAL-D-01,EPIC-DRUPAL,subtarea,drupal,2026-09-01,,D6,migración,Prep: export WP 18/18 JSON+MD,P0,hecho,,,03-seo/datos/wp-export-tours-jairo/manifest.json,18/18,
DRUPAL-D-02,EPIC-DRUPAL,subtarea,drupal,2026-09-01,,D6,migración,Prep: clipboard SEO title/meta,P0,hecho,,,03-seo/datos/drupal-tour-seo-clipboard/TOURS-SEO-CLIPBOARD.md,18 tours,
DRUPAL-D-03,EPIC-DRUPAL,subtarea,drupal,2026-09-01,,D6,migración,Prep: drupal-paste HTML por tour,P0,hecho,,,03-seo/datos/wp-export-tours-jairo/,18 carpetas,
DRUPAL-D-04,EPIC-DRUPAL,subtarea,drupal,2026-09-01,,D6,migración,Prep: guía tour piloto Salkantay,P0,hecho,,,03-seo/guias/PASO-A-PASO-TOUR-01-SALKANTAY.md,,
DRUPAL-D-05,EPIC-DRUPAL,subtarea,drupal,2026-09-01,,D6,migración,Prep: CSV maestro migración,P0,hecho,,,03-seo/datos/drupal-sprint-jairo-2026-09-01/jairo-migracion-maestro.csv,133 filas,
DRUPAL-D-06,EPIC-DRUPAL,subtarea,drupal,2026-09-01,,D6,migración,Prep: estimación tiempos bloque,P0,hecho,,,03-seo/datos/estimacion-tiempos-migracion-jairo.csv,~56h buffer,
DRUPAL-D-07,EPIC-DRUPAL,subtarea,drupal,2026-09-01,,D6,migración,Prep: mapa formulario Product,P0,hecho,,,10-aprendizaje/drupal/12-TOUR-PRODUCT-FORM-MAPA-COMPLETO.md,4 tabs,
DRUPAL-D-08,EPIC-DRUPAL,subtarea,drupal,2026-09-02,2026-09-03,D7,migración,Ejecutar: tour #1 Salkantay 5D,P0,hecho,,,03-seo/guias/PASO-A-PASO-TOUR-01-SALKANTAY.md,HTTP 200 /tour/the-classic-salkantay-trek-5d,Piloto real fue Humantay; Salkantay también 200
DRUPAL-D-09,EPIC-DRUPAL,subtarea,drupal,2026-09-03,2026-09-03,,migración,Ejecutar: tours #2–18,P0,hecho,,,03-seo/datos/wp-export-tours-jairo/,18/18 HTTP 200,Media upload y CSS Einel pendientes
