tipo,prioridad,titulo,url,keyword,clics,impresiones,posicion,accion_esta_semana
blog,P0-blog-top10-CTR,Things to Do in Machu Picchu 2026: All The Experiences You Should Know About,https://www.perugrandtravel.com/blog/things-to-do-in-machu-picchu/,Things to Do in Machu Picchu,1,"6,115",5.78,HOY/MAÑANA: auditar title/meta + enlaces a tours + WA
blog,P0-blog-top10-CTR,Museums in Machu Picchu: A Guide to the Hidden History of the Inca Citadel 2026,https://www.perugrandtravel.com/blog/museums-in-machu-picchu/,Museums in Machu Picchu,1,"2,494",6.28,HOY/MAÑANA: auditar title/meta + enlaces a tours + WA
blog,P0-blog-top10-CTR,San Juan de Letrán Church in Puno: Local Faith and Cultural Identity,https://www.perugrandtravel.com/blog/san-juan-de-letran-church/,San Juan de Letrán Church,0,"1,239",7.27,HOY/MAÑANA: auditar title/meta + enlaces a tours + WA
blog,P0-blog-top10-CTR,Discover Ceviche and Peru in 10 Days: ¡Savor the Journey of a Lifetime!,https://www.perugrandtravel.com/blog/ceviche-peru-in-10-days/,Ceviche Peru,1,985,8.00,HOY/MAÑANA: auditar title/meta + enlaces a tours + WA
blog,P0-blog-top10-CTR,"Valentine’s Day Travel Ideas: Romantic Getaways, Experiences, and Easy Itineraries",https://www.perugrandtravel.com/blog/valentines-day-travel-ideas/,Valentine’s Day Travel Ideas,1,877,9.72,HOY/MAÑANA: auditar title/meta + enlaces a tours + WA
blog,P0-blog-top10-CTR,The Temple of The Merced in Puno: Discover the Colonial Jewel of the Altiplano,https://www.perugrandtravel.com/blog/temple-of-the-merced-in-puno/,Temple of The Merced in Puno,1,513,8.51,HOY/MAÑANA: auditar title/meta + enlaces a tours + WA
tour,P1-tour-quickwin,Salkantay SKY Trek 5 days,https://www.perugrandtravel.com/tour/the-classic-salkantay-trek-5d/,salkantay trek 5 days,1,"1,218",26.79,Auditar title/meta/WA/schema
tour,P1-tour-quickwin,Cusco Planetarium Experience,https://www.perugrandtravel.com/tour/cusco-planetarium/,Cusco Planetarium,1,784,20.62,Auditar title/meta/WA/schema
tour,P1-tour-quickwin,Spectacular Cusco 7 days,https://www.perugrandtravel.com/tour/spectacular-cusco-7-days/,cusco tour,1,556,24.91,Auditar title/meta/WA/schema
tour,P1-tour-quickwin,Machu Picchu Express 3D/2N,https://www.perugrandtravel.com/tour/machu-picchu-express-3d/,machu picchu 3 days,1,528,29.78,Auditar title/meta/WA/schema
